,source_user,username,target_user
12086,1578163821432258561,kin01337,ergt2020
12087,1578163821432258561,kin01337,EliMarios_
12088,1578163821432258561,kin01337,BArevalodeLeon
12089,1748729495916298240,RuidoCarwashAGM,marnguate
12090,1748729495916298240,RuidoCarwashAGM,FJimenezmingob
12091,1748729495916298240,RuidoCarwashAGM,BArevalodeLeon
12092,1748729495916298240,RuidoCarwashAGM,pattyo502
12093,743149680964444160,Derechairo502,UbaldoMacu
12095,743149680964444160,Derechairo502,GuatemalaGob
12096,1289564545858646017,jtinianoomilton,BArevalodeLeon
12097,1824232489550061568,fenix10_54,UbaldoMacu
12099,1824232489550061568,fenix10_54,GuatemalaGob
12100,1787943453344595968,UbaldoMacu,MineducGT
12101,1787943453344595968,UbaldoMacu,MinfinGT
12103,1246952499506012163,JGonzalezA3,RafaelAE1967
12104,1246952499506012163,JGonzalezA3,GuatemalaGob
12105,1246952499506012163,JGonzalezA3,BArevalodeLeon
12106,1246952499506012163,JGonzalezA3,FelixSinExcusas
12107,1421213620252389376,austin_armand,BArevalodeLeon
12117,515923654,melmoce,wjmartinv
12118,515923654,melmoce,BArevalodeLeon
12120,26860664,jm_aguirre,BArevalodeLeon
12121,1787943453344595968,UbaldoMacu,MarcoArbencista
12123,1787943453344595968,UbaldoMacu,GuatemalaGob
12124,1783868938654244864,mini_licgt,drewzecena
12126,1787943453344595968,UbaldoMacu,RafaelDelAguil8
12127,1787943453344595968,UbaldoMacu,BenitoC67601310
12131,1372579734547275778,ElAnalitico_3,drewzecena
12133,407496568,eedlb,FJimenezmingob
12136,153322176,RELAJEROTOTAL,drewzecena
12138,1228764415,Kaluc0,EmisorasUnidas
12140,1228764415,Kaluc0,msemillagt
12141,1110596591868628992,chiltepe4,C_SMaldonado
12142,1110596591868628992,chiltepe4,el_pais
12143,1110596591868628992,chiltepe4,BArevalodeLeon
12144,407496568,eedlb,AztecaNoticiaGT
12146,407496568,eedlb,Ashley_Monzon
12152,460249832,davezgalindo,C_SMaldonado
12153,460249832,davezgalindo,el_pais
12154,460249832,davezgalindo,BArevalodeLeon
12155,199750925,andree_blue,BArevalodeLeon
12157,1666604446174916609,pineda_jossy33,drewzecena
12158,1666604446174916609,pineda_jossy33,BArevalodeLeon
12159,1079357132385013760,dcllantero,BArevalodeLeon
12163,467131288,chepenochinga,drewzecena
12164,467131288,chepenochinga,BArevalodeLeon
12166,515923654,melmoce,GuatemalaGob
12167,515923654,melmoce,msemillagt
12168,515923654,melmoce,BancadaSemilla
12171,2799314439,EEML9102,drewzecena
12173,505064313,FMendezArgueta,armandocastGT
12183,2219879367,letona_nimzy,drewzecena
12184,2219879367,letona_nimzy,BArevalodeLeon
12185,2634429184,licmariorubio,jczamora
12186,2634429184,licmariorubio,el_Periodico
12187,2634429184,licmariorubio,CIDH
12188,2634429184,licmariorubio,RELE_CIDH
12189,2634429184,licmariorubio,PVacaV
12190,2634429184,licmariorubio,UN_SPExperts
12191,2634429184,licmariorubio,UNHumanRights
12192,2634429184,licmariorubio,volker_turk
12193,2634429184,licmariorubio,BArevalodeLeon
12194,2634429184,licmariorubio,pressfreedom
12195,2634429184,licmariorubio,RSF_esp
12196,2634429184,licmariorubio,AmnistiaOnline
12197,1713596445167632384,Eduardo5554429,UbaldoMacu
12199,1713596445167632384,Eduardo5554429,GuatemalaGob
12203,1508657518641393667,Alanlitio,drewzecena
12205,1814378590315966464,edgar_gudiel88,drewzecena
12206,1814378590315966464,edgar_gudiel88,BArevalodeLeon
12207,1814378590315966464,edgar_gudiel88,raulbarreragt
12208,1681217799778172929,esthermironm,UbaldoMacu
12209,1681217799778172929,esthermironm,BArevalodeLeon
12210,1681217799778172929,esthermironm,GuatemalaGob
12211,1717625798750863361,JorgeVe19521845,royalvaradogt
12213,1703813466312581120,FabiolaAra17914,RafaelAE1967
12216,1703813466312581120,FabiolaAra17914,FelixSinExcusas
12217,1748777164122509312,E_Arreola70,UbaldoMacu
12220,1722309671485153280,tgamboa1104,drewzecena
12222,1424206727247970304,ClaudiaLuna1064,drewzecena
12224,575975263,king_joker80,UbaldoMacu
12225,575975263,king_joker80,BArevalodeLeon
12226,575975263,king_joker80,GuatemalaGob
12227,1643390110497398787,JavieraNath,UbaldoMacu
12228,1643390110497398787,JavieraNath,BArevalodeLeon
12229,1643390110497398787,JavieraNath,GuatemalaGob
12230,111104576,gerardoocana,pablopepablo
12231,111104576,gerardoocana,Pepefutbol15
12232,111104576,gerardoocana,GuatemalaGob
12233,111104576,gerardoocana,BArevalodeLeon
12234,1548769735801798658,SalQuevedo,NuestroDiario
12242,407496568,eedlb,ElQueNews
12245,1669597168565383170,LamportNanogt,drewzecena
12247,1049837050361458688,Luis26945054,drewzecena
12249,1861173768,matuteshute,robrimola
12250,1861173768,matuteshute,drewzecena
12251,1861173768,matuteshute,BArevalodeLeon
12252,1861173768,matuteshute,raulbarreragt
12253,1218233245323665409,MendozaRendy,UbaldoMacu
12256,329851513,ditoxology,BancadaSemilla
12257,329851513,ditoxology,BArevalodeLeon
12258,329851513,ditoxology,CongresoGuate
12261,1187458627902287872,GustPhographer,C_SMaldonado
12262,1187458627902287872,GustPhographer,el_pais
12264,1706739250488598528,_rmarroquin,drewzecena
12265,1706739250488598528,_rmarroquin,BArevalodeLeon
12266,140600857,oise1970,BArevalodeLeon
12267,1052884805149487104,Lachogt1,wichomarg
12268,1052884805149487104,Lachogt1,UbaldoMacu
12270,1052884805149487104,Lachogt1,GuatemalaGob
12271,142611876,tavoare,drewzecena
12272,142611876,tavoare,BArevalodeLeon
12273,786040954180415488,aleexxcarrera,mrckcstl
12274,786040954180415488,aleexxcarrera,FJimenezmingob
12275,786040954180415488,aleexxcarrera,mingobguate
12276,786040954180415488,aleexxcarrera,PNCdeGuatemala
12277,786040954180415488,aleexxcarrera,DiariodeCA
12278,786040954180415488,aleexxcarrera,AGN_noticias
12279,786040954180415488,aleexxcarrera,Radio_TGW
12280,786040954180415488,aleexxcarrera,GuatemalaGob
12282,336879561,JGramajo_Soy502,FelixSinExcusas
12283,336879561,JGramajo_Soy502,CIV_Guatemala
12284,336879561,JGramajo_Soy502,BArevalodeLeon
12285,336879561,JGramajo_Soy502,msemillagt
12286,336879561,JGramajo_Soy502,santipalomov
12287,418981698,robrimola,Crrc9119
12288,418981698,robrimola,drewzecena
12290,418981698,robrimola,raulbarreragt
12291,418981698,robrimola,Albertologos
12292,1545658051327311872,ElReyDelMambo__,robrimola
12293,1545658051327311872,ElReyDelMambo__,drewzecena
12294,1545658051327311872,ElReyDelMambo__,BArevalodeLeon
12295,1545658051327311872,ElReyDelMambo__,raulbarreragt
12296,1791599840234778625,MaribelMar51429,drewzecena
12298,4160604678,luisargueta2551,UbaldoMacu
12299,4160604678,luisargueta2551,BArevalodeLeon
12300,4160604678,luisargueta2551,GuatemalaGob
12301,786040954180415488,aleexxcarrera,OrlandMejia1
12310,1655968681929633794,Nkcfmoto400,drewzecena
12312,1655968681929633794,Nkcfmoto400,raulbarreragt
12313,1655968681929633794,Nkcfmoto400,AVillagran502
12316,1138195922029035521,luisca_o,GuatemalaGob
12317,1540568321325776896,Crrc9119,robrimola
12318,1540568321325776896,Crrc9119,drewzecena
12319,1540568321325776896,Crrc9119,BArevalodeLeon
12320,1540568321325776896,Crrc9119,raulbarreragt
12321,1815960633126404096,Miguel479279560,GuatemalaGob
12327,316719355,JoeAlfMorataya,drewzecena
12329,1815960633126404096,Miguel479279560,CrticaConstru20
12331,1676402690761412609,MARODROS,UbaldoMacu
12333,1676402690761412609,MARODROS,GuatemalaGob
12335,596890460,pablopepablo,Pepefutbol15
12336,596890460,pablopepablo,GuatemalaGob
12337,596890460,pablopepablo,BArevalodeLeon
12338,1815960633126404096,Miguel479279560,drewzecena
12340,1818033540866719744,dvidx84,drewzecena
12342,596890460,pablopepablo,gerardoocana
12351,1818033540866719744,dvidx84,PNCdeGuatemala
12360,1376720407408037892,EAPablo10_,Lpez4Edwin
12361,1376720407408037892,EAPablo10_,drewzecena
12363,1744850191277002752,Maltiox1984,copadehgt
12364,1744850191277002752,Maltiox1984,CorteIDH
12365,1744850191277002752,Maltiox1984,hoss06
12366,1744850191277002752,Maltiox1984,BArevalodeLeon
12367,1744850191277002752,Maltiox1984,lucreciapeinado
12368,1445083878281125893,Rigobertoperezb,drewzecena
12369,1445083878281125893,Rigobertoperezb,BArevalodeLeon
12370,3423589334,unchapincomun,drewzecena
12372,1701101351676104704,MarcoArbencista,UbaldoMacu
12373,1701101351676104704,MarcoArbencista,BArevalodeLeon
12374,1701101351676104704,MarcoArbencista,GuatemalaGob
12378,348684511,allancarrillo1,RafaelAE1967
12379,348684511,allancarrillo1,GuatemalaGob
12381,348684511,allancarrillo1,FelixSinExcusas
12382,57396969,mazingerz_gt,C_SMaldonado
12383,57396969,mazingerz_gt,el_pais
12384,57396969,mazingerz_gt,BArevalodeLeon
12389,57396969,mazingerz_gt,GuatemalaGob
12391,1456452781905170434,M4cui17,vichoguate
12396,329394543,JuanCarlosGTM,drewzecena
12397,329394543,JuanCarlosGTM,BArevalodeLeon
12398,3103434223,jcarlos223020,UbaldoMacu
12401,953107573980450821,MariaBonita9697,drewzecena
12403,431032224,LiQados,UbaldoMacu
12404,431032224,LiQados,BArevalodeLeon
12405,431032224,LiQados,GuatemalaGob
12406,1173293751369965573,Pepefutbol15,gerardoocana
12407,1173293751369965573,Pepefutbol15,pablopepablo
12408,1173293751369965573,Pepefutbol15,GuatemalaGob
12409,1173293751369965573,Pepefutbol15,BArevalodeLeon
12411,1673388945097277442,semillademal,Jenzaros2
12412,1673388945097277442,semillademal,UbaldoMacu
12413,1673388945097277442,semillademal,BArevalodeLeon
12414,1673388945097277442,semillademal,GuatemalaGob
12415,1674794466660749313,marianaGod57937,BArevalodeLeon
12417,749889296,Corleone_62,AztecaNoticiaGT
12419,749889296,Corleone_62,Ashley_Monzon
12420,1630526312686206976,Lpez4Edwin,drewzecena
12421,1630526312686206976,Lpez4Edwin,BArevalodeLeon
12428,963050848971579393,RafaelAE1967,AxelGar56163124
12432,2966995161,Perez10System,UbaldoMacu
12433,2966995161,Perez10System,BArevalodeLeon
12434,2966995161,Perez10System,GuatemalaGob
12435,963050848971579393,RafaelAE1967,allancarrillo1
12443,1379805059647672328,Nombredeguerra1,UbaldoMacu
12445,1379805059647672328,Nombredeguerra1,GuatemalaGob
12446,14948963,yaelmendez,drewzecena
12451,1674794466660749313,marianaGod57937,UbaldoMacu
12453,1674794466660749313,marianaGod57937,GuatemalaGob
12458,963050848971579393,RafaelAE1967,_Newsgt
12462,963050848971579393,RafaelAE1967,DrGiammattei
12463,963050848971579393,RafaelAE1967,__VaderTG
12464,963050848971579393,RafaelAE1967,MPguatemala
12466,1517315854039457797,daniel___sa,soyelvendedorx
12467,1517315854039457797,daniel___sa,BArevalodeLeon
12468,2656142887,ElvinSantiagos,drewzecena
12469,2656142887,ElvinSantiagos,BArevalodeLeon
12470,853019334,Ganddini_Sofia,UbaldoMacu
12471,853019334,Ganddini_Sofia,BArevalodeLeon
12472,853019334,Ganddini_Sofia,GuatemalaGob
12473,444799334,eg_gd26,drewzecena
12475,444799334,eg_gd26,raulbarreragt
12476,102455046,maurinewyork,eP_investiga
12478,1674794466660749313,marianaGod57937,ErroresGt
12487,1647265488165126144,A78021Relojeria,LeoMarkSal
12488,1647265488165126144,A78021Relojeria,Factor4_GT
12490,1647265488165126144,A78021Relojeria,BancadaSemilla
12491,1647265488165126144,A78021Relojeria,samuel_pz
12492,1647265488165126144,A78021Relojeria,raulbarreragt
12493,139189148,NOREIAS,drewzecena
12495,1187458627902287872,GustPhographer,_cristiangt
12497,1187458627902287872,GustPhographer,msemillagt
12498,242829918,eledycito,UbaldoMacu
12499,242829918,eledycito,BArevalodeLeon
12500,242829918,eledycito,GuatemalaGob
